Accesion,Organism,Source
CP070349.1,Mycolicibacterium septicum,Mycolicibacterium septicum (Mycobacterium septicum)
CP028590.1,Escherichia coli O157:H-,Escherichia coli O157:H-
LN594759.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP015109.1,Sporosarcina ureae,Sporosarcina ureae
MG298870.1,Human gammaherpesvirus 4,Human gammaherpesvirus 4 (Epstein-Barr virus)
CP025656.1,Ipomoea trifida,Ipomoea trifida
MG842073.1,Pinus nigra,Pinus nigra
CP026674.1,Pseudomonas sp. SWI44,Pseudomonas sp. SWI44
MN066702.1,Pediomelum tenuiflorum,mitochondrion Pediomelum tenuiflorum
LR789795.1,Phallusia mammillata,Phallusia mammillata
LN590712.1,Cyprinus carpio,Cyprinus carpio (common carp)
MN531141.1,Puma lentivirus,Puma lentivirus
CP101269.1,Escherichia coli,Escherichia coli
CP036403.1,Ornithinimicrobium sp. HY006,Ornithinimicrobium sp. HY006
XM_033819362.1,Trematosphaeria pertusa,Trematosphaeria pertusa
AC149431.1,Populus trichocarpa,Populus trichocarpa (Populus balsamifera subsp. trichocarpa)
LC597692.1,synthetic construct,synthetic construct
LN590881.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP045101.1,Acinetobacter johnsonii,Acinetobacter johnsonii
CP092365.1,Mycolicibacillus parakoreensis,Mycolicibacillus parakoreensis (Mycobacterium parakoreense)
XR_008226140.1,Lactuca sativa,Lactuca sativa
CP047420.1,Rathayibacter sp. VKM Ac-2804,Rathayibacter sp. VKM Ac-2804
LN595047.1,Cyprinus carpio,Cyprinus carpio (common carp)
MN017229.1,Haematoxylum brasiletto,mitochondrion Haematoxylum brasiletto
CP045416.1,Stutzerimonas frequens,Stutzerimonas frequens
CP003725.1,Stutzerimonas stutzeri DSM 10701,Stutzerimonas stutzeri DSM 10701
BK051445.1,Myoviridae sp.,Myoviridae sp. (Human Metagenome)
CP033829.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
OV196890.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
CP076847.1,Rhizobium pusense,Rhizobium pusense (Agrobacterium pusense)
MG841993.1,Pinus nigra,Pinus nigra
XR_002394012.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
JX163463.1,Chamaecrista fasciculata,Chamaecrista fasciculata
CP079947.1,Pseudomonas sp. AO-1,Pseudomonas sp. AO-1
LN590883.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP087138.1,Pseudomonas sp. KNUC1026,Pseudomonas sp. KNUC1026
CP058526.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
KR059940.1,Cannabis sativa,mitochondrion Cannabis sativa
HM753712.1,Escherichia phage phiX174,Escherichia phage phiX174
AP024661.1,Arthrobacter sp. NicSoilE8,Arthrobacter sp. NicSoilE8
FR997668.1,Vespula vulgaris,Vespula vulgaris
CP047311.1,Pseudomonas putida,Pseudomonas putida
MW448462.1,Indigofera tinctoria,mitochondrion Indigofera tinctoria
MZ366780.1,Opuntia macrorhiza,Opuntia macrorhiza
CP061881.1,Alternaria alternata,Alternaria alternata
OU503056.1,Fraxinus pennsylvanica,Fraxinus pennsylvanica
CP081342.1,Pantoea ananatis,Pantoea ananatis
CP081210.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
BK058154.1,Podoviridae sp.,Podoviridae sp. (Human Metagenome)
AM235526.1,Angophora costata,Angophora costata
EF380032.1,Escherichia phage phiX174,Escherichia phage phiX174
OV196467.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
HM753716.1,Escherichia phage phiX174,Escherichia phage phiX174
LN590759.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP077080.1,Pseudomonas alvandae,Pseudomonas alvandae
XR_008226148.1,Lactuca sativa,Lactuca sativa
LN595682.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP010429.1,Spirosoma radiotolerans,Spirosoma radiotolerans
MN057920.1,Spondias mombin,mitochondrion Spondias mombin
MF389951.1,Pinus sylvestris,Pinus sylvestris (Scots pine)
MN935421.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
CP008696.1,Pseudomonas chlororaphis,Pseudomonas chlororaphis
MW583075.1,Vitis yunnanensis,Vitis yunnanensis
CP026514.1,Arthrobacter sp. PGP41,Arthrobacter sp. PGP41
CP113096.1,Pseudomonas citronellolis,Pseudomonas citronellolis
LN596502.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP099540.1,Pantoea stewartii,Pantoea stewartii
LC183521.1,Dioon argenteum,Dioon argenteum
OV195900.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
CP041236.1,Pseudomonas azotoformans,Pseudomonas azotoformans
MN935423.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
CP061885.1,Alternaria alternata,Alternaria alternata
LT629691.1,Pseudomonas thivervalensis,Pseudomonas thivervalensis
MN935394.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
LC183552.1,Dioon tomasellii,Dioon tomasellii
CP061886.1,Alternaria alternata,Alternaria alternata
ON510785.1,Tuber sp.,Tuber sp.
LT629972.1,Pseudomonas fuscovaginae,Pseudomonas fuscovaginae
CP045302.1,Azotobacter salinestris,Azotobacter salinestris
XR_008229555.1,Lactuca sativa,Lactuca sativa
AM743169.1,Stenotrophomonas maltophilia K279a,Stenotrophomonas maltophilia K279a
JX163442.1,Chamaecrista fasciculata,Chamaecrista fasciculata
HM753677.1,Escherichia phage phiX174,Escherichia phage phiX174
MF389950.1,Pinus sylvestris,Pinus sylvestris (Scots pine)
MW182656.1,Fusarium boothii,mitochondrion Fusarium boothii
CP062498.1,Pseudomonas sp. BIGb0427,Pseudomonas sp. BIGb0427
CP011507.1,Pseudomonas trivialis,Pseudomonas trivialis
LC704597.1,Dendrobium brymerianum,mitochondrion Dendrobium brymerianum
XR_008226137.1,Lactuca sativa,Lactuca sativa
LN590672.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP077719.1,Pseudomonas viridiflava,Pseudomonas viridiflava
AP014717.1,Vigna radiata var. sublobata,mitochondrion Vigna radiata var. sublobata
CP060023.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
CP037424.1,Acinetobacter johnsonii,Acinetobacter johnsonii
JX163443.1,Chamaecrista fasciculata,Chamaecrista fasciculata
XM_025644981.1,Aspergillus aculeatinus CBS 121060,Aspergillus aculeatinus CBS 121060
CP032918.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
OW028770.1,Quercus robur,Quercus robur (English oak)
KT179689.1,Heliopsis helianthoides var. occidentalis,Heliopsis helianthoides var. occidentalis
XR_008229500.1,Lactuca sativa,Lactuca sativa
CP025298.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
CP099535.1,Pantoea ananatis,Pantoea ananatis
XM_028643931.1,Alternaria arborescens,Alternaria arborescens
LN592354.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_008226121.1,Lactuca sativa,Lactuca sativa
CP034537.1,Pseudomonas poae,Pseudomonas poae
KT764097.1,Pinus bungeana,Pinus bungeana
JX163457.1,Chamaecrista fasciculata,Chamaecrista fasciculata
CP002330.1,Caldicellulosiruptor kronotskyensis 2002,Caldicellulosiruptor kronotskyensis 2002
CP103288.1,Pseudarthrobacter sp. NS4,Pseudarthrobacter sp. NS4
MG841961.1,Pinus nigra,Pinus nigra
NC_049077.1,Nemania diffusa,mitochondrion Nemania diffusa
CP068986.1,Pseudomonas sp. 15A4,Pseudomonas sp. 15A4
XM_031431118.1,Pistacia vera,Pistacia vera
CP069317.1,Pseudomonas putida,Pseudomonas putida
GU476480.1,Thaleropia queenslandica,Thaleropia queenslandica
MW583057.1,Vitis piasezkii,Vitis piasezkii
CP045359.1,Pseudomonas sp. THAF42,Pseudomonas sp. THAF42
CP014025.1,Pseudomonas fulva,Pseudomonas fulva
CP037858.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
MW583081.1,Vitis cinerea,Vitis cinerea
CP005975.1,Pseudomonas simiae,Pseudomonas simiae
MN935383.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
LN590697.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP071797.1,Pseudomonas fluorescens,Pseudomonas fluorescens
CP011010.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
MF417942.1,uncultured Caudovirales phage,uncultured Caudovirales phage
CP039904.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
CP006018.1,Bifidobacterium indicum LMG 11587 = DSM 20214,Bifidobacterium indicum LMG 11587 = DSM 20214
CP076114.1,Pseudomonas seleniipraecipitans,Pseudomonas seleniipraecipitans
CP027746.1,Pseudomonas chlororaphis subsp. aurantiaca,Pseudomonas chlororaphis subsp. aurantiaca
NC_065997.1,Actinidia chinensis,mitochondrion Actinidia chinensis
AP014718.1,Arthrobacter sp. Hiyo4,Arthrobacter sp. Hiyo4
XR_004004038.1,Syzygium oleosum,Syzygium oleosum
CP093968.1,Acinetobacter sp. LUNF3,Acinetobacter sp. LUNF3
MW583065.1,Vitis retordii,Vitis retordii
OV197187.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
LC234801.1,uncultured prokaryote,uncultured prokaryote
KT254133.1,Pbunalikevirus phiFenriz,Pbunalikevirus phiFenriz
MG842080.1,Pinus nigra,Pinus nigra
MN066701.1,Pediomelum esculentum,mitochondrion Pediomelum esculentum
CP081206.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
LT963441.1,Staphylococcus haemolyticus,Staphylococcus haemolyticus
MW583094.1,Pterisanthes heterantha,Pterisanthes heterantha
LN596505.1,Cyprinus carpio,Cyprinus carpio (common carp)
MN599027.1,Cannabis sativa,mitochondrion Cannabis sativa
CP081200.1,Pseudomonas sp. 3-2,Pseudomonas sp. 3-2
LN596327.1,Cyprinus carpio,Cyprinus carpio (common carp)
HM753687.1,Escherichia phage phiX174,Escherichia phage phiX174
MH883760.1,Human gammaherpesvirus 4,Human gammaherpesvirus 4 (Epstein-Barr virus)
LN590913.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN592402.1,Cyprinus carpio,Cyprinus carpio (common carp)
XM_024241072.1,Pongo abelii,Pongo abelii (Sumatran orangutan)
XR_008229544.1,Lactuca sativa,Lactuca sativa
ON551388.1,Mycolicibacterium phage Kashi_SSH1,Mycolicibacterium phage Kashi_SSH1
CP102428.1,Pseudomonas psychrotolerans,Pseudomonas psychrotolerans
LN594250.1,Cyprinus carpio,Cyprinus carpio (common carp)
XR_008229515.1,Lactuca sativa,Lactuca sativa
CP109657.1,Pseudomonas aeruginosa,Pseudomonas aeruginosa
XR_008229548.1,Lactuca sativa,Lactuca sativa
BK059322.1,Arabis mosaic virus,Arabis mosaic virus
MZ751076.1,Mangifera persiciforma,mitochondrion Mangifera persiciforma
NC_063727.1,Fusarium vorosii,mitochondrion Fusarium vorosii
CP003677.1,Stutzerimonas stutzeri CCUG 29243,Stutzerimonas stutzeri CCUG 29243
CP050897.1,Rhizobium pusense,Rhizobium pusense (Agrobacterium pusense)
LN590985.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP009571.1,Sphingomonas taxi,Sphingomonas taxi
HG994359.1,Brassica napus,Brassica napus (rape)
LR789286.1,Phallusia mammillata,Phallusia mammillata
CP048509.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
CP015225.1,Pseudomonas fluorescens,Pseudomonas fluorescens
CP018758.1,Pseudomonas psychrotolerans,Pseudomonas psychrotolerans
LN592426.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP039908.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
XM_031098881.1,Quercus lobata,Quercus lobata
HM753665.1,Escherichia phage phiX174,Escherichia phage phiX174
CP102328.1,Pseudomonas otitidis,Pseudomonas otitidis
AP024650.1,Arthrobacter sp. StoSoilB19,Arthrobacter sp. StoSoilB19
AP024868.1,Vibrio comitans,Vibrio comitans
HQ349054.1,Pinus strobiformis,Pinus strobiformis
CP077678.1,Pseudomonas chlororaphis,Pseudomonas chlororaphis
CP028350.1,Pantoea vagans,Pantoea vagans
LN595243.1,Cyprinus carpio,Cyprinus carpio (common carp)
OP723658.1,Lagerstroemia indica,Lagerstroemia indica
LC597693.1,synthetic construct,synthetic construct
HM753698.1,Escherichia phage phiX174,Escherichia phage phiX174
XR_008226129.1,Lactuca sativa,Lactuca sativa
AM235532.1,Lophostemon confertus,Lophostemon confertus
XR_007334724.1,Brassica napus,Brassica napus (rape)
CP046538.1,Stutzerimonas degradans,Stutzerimonas degradans
MG842071.1,Pinus nigra,Pinus nigra
XM_051736008.1,Alternaria postmessia,Alternaria postmessia
CP054867.1,Pseudomonas chlororaphis,Pseudomonas chlororaphis
HM753682.1,Escherichia phage phiX174,Escherichia phage phiX174
CP060016.1,Mycolicibacterium boenickei,Mycolicibacterium boenickei (Mycobacterium boenickei)
MN935411.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
HM753668.1,Escherichia phage phiX174,Escherichia phage phiX174
CP061882.1,Alternaria alternata,Alternaria alternata
LR797846.1,Fusarium culmorum,mitochondrion Fusarium culmorum
MW583056.1,Vitis romanetii,Vitis romanetii
JF719727.1,Escherichia phage phiX174,Escherichia phage phiX174
CP076369.1,Pantoea dispersa,Pantoea dispersa
LN590681.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN598354.1,Cyprinus carpio,Cyprinus carpio (common carp)
U42542.1,Aeschynanthus radicans,Aeschynanthus radicans
CP029044.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
LC183528.1,Dioon edule,Dioon edule
CP047310.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
CP096882.1,Pseudarthrobacter sp. SSS035,Pseudarthrobacter sp. SSS035
HM753694.1,Escherichia phage phiX174,Escherichia phage phiX174
CP032559.1,Gossypium raimondii,Gossypium raimondii
CP048474.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
HM753691.1,Escherichia phage phiX174,Escherichia phage phiX174
NC_063723.1,Fusarium meridionale,mitochondrion Fusarium meridionale
XR_008229516.1,Lactuca sativa,Lactuca sativa
MW583078.1,Vitis palmata,Vitis palmata
XM_010096533.2,Morus notabilis,Morus notabilis
CP011020.1,Pseudomonas chlororaphis,Pseudomonas chlororaphis
CP024768.1,Pantoea cypripedii,Pantoea cypripedii
LR991070.1,Notocelia uddmanniana,Notocelia uddmanniana
CP058974.1,Pseudomonas sp. Y5-11,Pseudomonas sp. Y5-11
LM523540.1,Parastrongyloides trichosuri,Parastrongyloides trichosuri
CP020820.1,Pantoea vagans,Pantoea vagans
CP022024.1,Alternaria solani,Alternaria solani
CP032311.1,Pseudomonas sp. DG56-2,Pseudomonas sp. DG56-2
XR_008229552.1,Lactuca sativa,Lactuca sativa
CP033586.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
CP087204.1,Pseudomonas sp. B21-054,Pseudomonas sp. B21-054
XM_051433662.1,Alternaria incomplexa,Alternaria incomplexa
BK054506.1,Siphoviridae sp.,Siphoviridae sp. (Human Metagenome)
MW182667.1,Fusarium louisianense,mitochondrion Fusarium louisianense
CP060529.1,Pseudomonas putida,Pseudomonas putida
CP032927.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
CP061943.1,Pseudomonas sp. SK3(2021),Pseudomonas sp. SK3(2021)
MW182662.1,Fusarium cortaderiae,mitochondrion Fusarium cortaderiae
LN596733.1,Cyprinus carpio,Cyprinus carpio (common carp)
MW583064.1,Vitis betulifolia,Vitis betulifolia
XM_044784077.1,Diaporthe batatas,Diaporthe batatas
NC_063719.1,Fusarium boothii,mitochondrion Fusarium boothii
LT629747.1,Pseudomonas chlororaphis,Pseudomonas chlororaphis
LS974625.2,Brassica rapa,Brassica rapa (field mustard)
CP040431.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
FJ054307.2,Pinus taeda,Pinus taeda (loblolly pine)
OV196099.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
CP021645.1,Pseudomonas psychrotolerans,Pseudomonas psychrotolerans
MG372797.1,Pinus squamata,Pinus squamata
HQ349048.1,Pinus parviflora,Pinus parviflora
MW583091.1,Tetrastigma sp. Wen 12461,Tetrastigma sp. Wen 12461
CP103374.1,Pseudomonas sp. BW7P1,Pseudomonas sp. BW7P1
CP016433.1,Rhizobium sp. S41,Rhizobium sp. S41
HG521773.1,Stutzerimonas stutzeri DSM 10701,Stutzerimonas stutzeri DSM 10701
MN935415.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
CP040095.1,Pantoea sp. SO10,Pantoea sp. SO10
XM_003602786.4,Medicago truncatula,Medicago truncatula (barrel medic)
CP048051.1,Pseudomonas chlororaphis subsp. aurantiaca,Pseudomonas chlororaphis subsp. aurantiaca
CP068238.1,Pseudomonas aeruginosa,Pseudomonas aeruginosa
XR_007198978.1,Rhodamnia argentea,Rhodamnia argentea
LT972185.1,Larimichthys crocea,Larimichthys crocea (large yellow croaker)
LN594921.1,Cyprinus carpio,Cyprinus carpio (common carp)
HM775306.1,Escherichia phage phiX174,Escherichia phage phiX174
CP051467.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
MZ348425.1,Pseudomonas phage psageB2,Pseudomonas phage psageB2
NC_053625.1,Malania oleifera,mitochondrion Malania oleifera
LC597799.1,synthetic construct,synthetic construct
OM970791.1,Limnanthes douglasii,Limnanthes douglasii (Douglas's meadowfoam)
CP014014.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
LN590700.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP099420.1,Septoria linicola,Septoria linicola (Mycosphaerella linicola)
CP001341.1,Pseudarthrobacter chlorophenolicus A6,Pseudarthrobacter chlorophenolicus A6
CP013747.1,Pseudarthrobacter sulfonivorans,Pseudarthrobacter sulfonivorans
XR_001560995.1,Acropora digitifera,Acropora digitifera
MN935397.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
AP020336.1,Pseudomonas chlororaphis subsp. aurantiaca,Pseudomonas chlororaphis subsp. aurantiaca
CP087194.1,Pseudomonas sp. B21-017,Pseudomonas sp. B21-017
KY538046.1,Chimonanthus praecox,Chimonanthus praecox
XR_008229509.1,Lactuca sativa,Lactuca sativa
MW583069.1,Vitis chungii,Vitis chungii
CP036359.1,Agrobacterium sp. 33MFTa1.1,Agrobacterium sp. 33MFTa1.1
CP025149.2,Stutzerimonas stutzeri,Stutzerimonas stutzeri
LN590714.1,Cyprinus carpio,Cyprinus carpio (common carp)
MW182668.1,Fusarium louisianense,mitochondrion Fusarium louisianense
CP049217.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
XM_051734179.1,Alternaria postmessia,Alternaria postmessia
CP113949.1,Pseudomonas sp. BSw22131,Pseudomonas sp. BSw22131
XM_010657896.2,Vitis vinifera,Vitis vinifera (wine grape)
LN594467.1,Cyprinus carpio,Cyprinus carpio (common carp)
LN591542.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP087170.1,Pseudomonas rhodesiae,Pseudomonas rhodesiae
CP004143.1,Pseudomonas sp. ATCC 13867,Pseudomonas sp. ATCC 13867
CP027748.1,Pseudomonas chlororaphis subsp. aureofaciens,Pseudomonas chlororaphis subsp. aureofaciens
LN594502.1,Cyprinus carpio,Cyprinus carpio (common carp)
LC597794.1,synthetic construct,synthetic construct
MG841907.1,Pinus nigra,Pinus nigra
BK040816.1,Myoviridae sp.,Myoviridae sp. (Human Metagenome)
XM_050416182.1,Quercus robur,Quercus robur (English oak)
XM_044653583.1,Mangifera indica,Mangifera indica (mango)
MW583050.1,Vitis chunganensis,Vitis chunganensis
MK990822.1,Monotropa hypopitys,mitochondrion Monotropa hypopitys
XR_002394030.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
XR_004004048.1,Syzygium oleosum,Syzygium oleosum
KY537980.1,Quercus glauca,Quercus glauca
LR700642.1,Pseudomonas fluorescens,Pseudomonas fluorescens
CP107088.1,Yersinia enterocolitica,Yersinia enterocolitica
CP049140.1,Pseudomonas nitroreducens,Pseudomonas nitroreducens
CP037423.1,Stieleria neptunia,Stieleria neptunia
CP110488.1,Klebsiella pneumoniae,Klebsiella pneumoniae
CP029049.1,Miniimonas sp. S16,Miniimonas sp. S16
AF176027.1,Escherichia phage phiX174,Escherichia phage phiX174
CP027169.1,Pseudomonas paraeruginosa,Pseudomonas paraeruginosa
CP027711.1,Pseudomonas chlororaphis subsp. piscium,Pseudomonas chlororaphis subsp. piscium
CP110885.1,Pseudomonas lurida,Pseudomonas lurida
CP039923.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
OP723646.1,Lagerstroemia indica,Lagerstroemia indica
CP024085.1,Pseudomonas putida,Pseudomonas putida
CP029045.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
CP011427.1,Pantoea vagans,Pantoea vagans
MW182653.1,Fusarium austroamericanum,mitochondrion Fusarium austroamericanum
OP723650.1,Lagerstroemia indica,Lagerstroemia indica
LN596098.1,Cyprinus carpio,Cyprinus carpio (common carp)
MW448464.1,Vigna unguiculata,mitochondrion Vigna unguiculata (cowpea)
OV015804.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
CP038412.1,Escherichia coli O157:H7,Escherichia coli O157:H7
LN597789.1,Cyprinus carpio,Cyprinus carpio (common carp)
EF380015.1,Escherichia phage phiX174,Escherichia phage phiX174
CP032922.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
CP000679.1,Caldicellulosiruptor saccharolyticus DSM 8903,Caldicellulosiruptor saccharolyticus DSM 8903
MG842100.1,Pinus nigra,Pinus nigra
CP048503.1,Agrobacterium tumefaciens,Agrobacterium tumefaciens (Rhizobium radiobacter)
MW583047.1,Vitis amurensis,Vitis amurensis
XR_008229506.1,Lactuca sativa,Lactuca sativa
CP018000.1,Rhizobium sp. Y9,Rhizobium sp. Y9
AM235537.1,Heteropyxis natalensis,Heteropyxis natalensis
CP074350.1,Pantoea dispersa,Pantoea dispersa
LN590675.1,Cyprinus carpio,Cyprinus carpio (common carp)
XM_031430210.1,Pistacia vera,Pistacia vera
LN594450.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP027721.1,Pseudomonas chlororaphis subsp. aureofaciens,Pseudomonas chlororaphis subsp. aureofaciens
MG841924.1,Pinus nigra,Pinus nigra
CP041189.1,Pseudomonas sp. NIBRBAC000502773,Pseudomonas sp. NIBRBAC000502773
BK046622.1,Bacteriophage sp.,Bacteriophage sp. (Human Metagenome)
XM_049342400.1,Alternaria ventricosa,Alternaria ventricosa
XM_050078264.1,Nymphaea colorata,Nymphaea colorata (pocket water lily)
MG842107.1,Pinus nigra,Pinus nigra
CP068195.1,Acinetobacter johnsonii,Acinetobacter johnsonii
KT764098.1,Pinus bungeana,Pinus bungeana
NC_058235.1,Gleditsia sinensis,mitochondrion Gleditsia sinensis
CP058975.1,Pseudomonas sp. Y39-6,Pseudomonas sp. Y39-6
LR134319.1,Stutzerimonas stutzeri,Stutzerimonas stutzeri
CP101180.1,Paenarthrobacter ureafaciens,Paenarthrobacter ureafaciens
CP015878.1,Pseudomonas citronellolis,Pseudomonas citronellolis
CP045869.1,Klebsiella aerogenes,Klebsiella aerogenes
LT972179.1,Larimichthys crocea,Larimichthys crocea (large yellow croaker)
CP077679.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
CP007637.1,Pseudomonas simiae,Pseudomonas simiae
OV196488.1,Severe acute respiratory syndrome coronavirus 2,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
AK443485.1,Conus episcopatus,Conus episcopatus
MK816392.2,Prunus avium,mitochondrion Prunus avium (sweet cherry)
CP036186.1,Stutzerimonas stutzeri,Stutzerimonas stutzeri
LN590702.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP114477.1,Coriaria nepalensis,Coriaria nepalensis
KY528812.1,Toona sinensis,Toona sinensis
CP046322.1,Corynebacterium xerosis,Corynebacterium xerosis
XR_005550721.1,Eucalyptus grandis,Eucalyptus grandis
LC183533.1,Dioon merolae,Dioon merolae
XR_008229527.1,Lactuca sativa,Lactuca sativa
AP022579.1,Mycolicibacterium boenickei,Mycolicibacterium boenickei (Mycobacterium boenickei)
XR_002394027.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
HG996468.1,Musa acuminata subsp. malaccensis,Musa acuminata subsp. malaccensis (wild Malaysian banana)
CP027751.1,Pseudomonas chlororaphis subsp. aureofaciens,Pseudomonas chlororaphis subsp. aureofaciens
XM_049374012.1,Alternaria ethzedia,Alternaria ethzedia
CP097526.1,Pseudomonas putida,Pseudomonas putida
XM_013494305.1,Eimeria mitis,Eimeria mitis
MF417878.1,uncultured Caudovirales phage,uncultured Caudovirales phage
CP055277.1,Acinetobacter sp. NEB 394,Acinetobacter sp. NEB 394
OM974713.1,Cannabis sativa,mitochondrion Cannabis sativa
CP070981.1,Pseudomonas rhodesiae,Pseudomonas rhodesiae
XM_043308145.1,Alternaria atra,Alternaria atra
CP067033.1,Agrobacterium fabrum,Agrobacterium fabrum
CP061079.1,Pseudomonas chlororaphis,Pseudomonas chlororaphis
XR_008229570.1,Lactuca sativa,Lactuca sativa
CP048635.1,Rhizobium oryzihabitans,Rhizobium oryzihabitans
KY528811.1,Citrus sinensis,Citrus sinensis (sweet orange)
CP016212.1,Pseudomonas putida JB,Pseudomonas putida JB
XM_033572836.1,Aspergillus tanneri,Aspergillus tanneri
AP015766.1,Vigna angularis var. angularis,Vigna angularis var. angularis
XM_031398449.1,Pistacia vera,Pistacia vera
LN591027.1,Cyprinus carpio,Cyprinus carpio (common carp)
CP027722.1,Pseudomonas chlororaphis subsp. aureofaciens,Pseudomonas chlororaphis subsp. aureofaciens
MW583106.1,Causonis japonica,Causonis japonica
CP015241.1,Escherichia coli,Escherichia coli
MN935381.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
MW583079.1,Vitis monticola,Vitis monticola
CP106694.1,Gossypium herbaceum,Gossypium herbaceum
MN935385.1,Fusarium asiaticum,mitochondrion Fusarium asiaticum
CP068498.1,Stagonosporopsis rhizophila,Stagonosporopsis rhizophila
MW583058.1,Vitis bryoniifolia,Vitis bryoniifolia
ON478164.1,Prunus armeniaca,mitochondrion Prunus armeniaca (apricot)
MG842089.1,Pinus nigra,Pinus nigra
AP022637.1,Lotus japonicus,mitochondrion Lotus japonicus
CP078087.1,Stutzerimonas stutzeri,Stutzerimonas stutzeri
FJ849058.1,Escherichia phage phiX174,Escherichia phage phiX174
XR_002394040.1,Heterocephalus glaber,Heterocephalus glaber (naked mole-rat)
LS483406.1,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia
CP042172.1,Arthrobacter sp. KBS0702,Arthrobacter sp. KBS0702
OP723659.1,Lagerstroemia indica,Lagerstroemia indica
MW182647.1,Fusarium acaciae-mearnsii,mitochondrion Fusarium acaciae-mearnsii
OU509537.1,Klebsiella pneumoniae phage,Klebsiella pneumoniae phage
CP106660.1,Pantoea dispersa,Pantoea dispersa
CP022160.1,Photorhabdus luminescens,Photorhabdus luminescens
MZ747309.1,Stylosanthes capitata,mitochondrion Stylosanthes capitata
